EMA LOW,EMA HIGH,STOP LOSS,TAKE PROFIT,BOUNDARY UP,BOUNDARY LOW,PROFIT
100,200.0,4.0,7.0,0.1,0.1,1008.1782600000004 #1 gennaio 2024 - 12 gennaio 2024
100,200.0,4.0,8.0,0.1,0.1,998.2692000000004 #1 gennaio 2024 - 12 gennaio 2024
100,200.0,4.0,8.0,1.0,1.0,1006.3036700000007 #1 gennaio 2024 - 12 gennaio 2024
100,200.0,4.0,8.0,2.0,2.0,1007.6681400000002 #1 gennaio 2024 - 12 gennaio 2024
100,200.0,4.0,8.0,4.0,4.0,1000.9093100000006 #1 gennaio 2024 - 12 gennaio 2024
100,200.0,8.0,10.0,0.1,0.1,1013.5041200000002 #1 gennaio 2024 - 12 gennaio 2024
100,200.0,8.0,10.0,2.0,2.0,1018.5941600000002 #1 gennaio 2024 - 12 gennaio 2024
100,200.0,7.0,7.0,0.1,0.1,1006.0958800000009 #1 gennaio 2024 - 12 gennaio 2024
100,200.0,8.0,8.0,0.1,0.1,1003.5277200000007 #1 gennaio 2024 - 12 gennaio 2024
100,200.0,10.0,10.0,0.1,0.1,1048.7991699999993 #1 gennaio 2024 - 12 gennaio 2024
100,200.0,10.0,10.0,2.0,2.0,1032.28616 #1 gennaio 2024 - 12 gennaio 2024
#test,,,,,,
100,200.0,4.0,7.0,0.1,0.1,1008.1782600000004 #1 gennaio 2024 - 12 gennaio 2024
100,200.0,4.0,8.0,0.1,0.1,998.2692000000004 #1 gennaio 2024 - 12 gennaio 2024
100,200.0,4.0,8.0,1.0,1.0,1006.3036700000007 #1 gennaio 2024 - 12 gennaio 2024
100,200.0,4.0,8.0,2.0,2.0,1007.6681400000002 #1 gennaio 2024 - 12 gennaio 2024
100,200.0,4.0,8.0,4.0,4.0,1000.9093100000006 #1 gennaio 2024 - 12 gennaio 2024
100,200.0,8.0,10.0,0.1,0.1,1013.5041200000002 #1 gennaio 2024 - 12 gennaio 2024
100,200.0,8.0,10.0,2.0,2.0,1018.5941600000002 #1 gennaio 2024 - 12 gennaio 2024
100,200.0,7.0,7.0,0.1,0.1,1006.0958800000009 #1 gennaio 2024 - 12 gennaio 2024
100,200.0,8.0,8.0,0.1,0.1,1003.5277200000007 #1 gennaio 2024 - 12 gennaio 2024
100,200.0,10.0,10.0,0.1,0.1,1048.7991699999993 #1 gennaio 2024 - 12 gennaio 2024
100,200.0,10.0,10.0,2.0,2.0,1032.28616 #1 gennaio 2024 - 12 gennaio 2024
100,200.0,10.0,7.0,0.1,0.1,1030.7752599999994 #1 gennaio 2024 - 12 gennaio 2024
100,200.0,4.0,7.0,0.1,0.1,981.8128100000008 #27 marzo 2024 - 4 aprile 2024 (alle 11)
100,200.0,4.0,7.5,0.1,0.1,979.336100000001 #27 marzo 2024 - 4 aprile 2024 (alle 11)
100,200.0,4.0,8.0,0.1,0.1,982.323690000001 #27 marzo 2024 - 4 aprile 2024 (alle 11) BEST
100,200.0,4.0,10.0,0.1,0.1,978.0008899999999 #27 marzo 2024 - 4 aprile 2024 (alle 11)
100,200.0,4.0,12.0,0.1,0.1,975.5523999999996 #27 marzo 2024 - 4 aprile 2024 (alle 11)
100,200.0,8.0,10.0,0.1,0.1,997.2914400000002 #27 marzo 2024 - 4 aprile 2024 (alle 11) BEST
100,200.0,8.0,12.0,0.1,0.1,989.2748 #27 marzo 2024 - 4 aprile 2024 (alle 11)
100,200.0,8.0,14.0,0.1,0.1,988.4485200000009 #27 marzo 2024 - 4 aprile 2024 (alle 11)
100,200.0,8.0,16.0,0.1,0.1,979.1956000000005 #27 marzo 2024 - 4 aprile 2024 (alle 11)
100,200.0,7.0,7.0,0.1,0.1,989.0035100000006 #27 marzo 2024 - 4 aprile 2024 (alle 11) BEST
100,200.0,8.0,8.0,0.1,0.1,987.8800700000005 #27 marzo 2024 - 4 aprile 2024 (alle 11) BEST
100,200.0,10.0,10.0,0.1,0.1,1002.9223499999998 #27 marzo 2024 - 4 aprile 2024 (alle 11) BEST
100,200.0,12.0,12.0,0.1,0.1,969.5232700000004 #27 marzo 2024 - 4 aprile 2024 (alle 11)
100,200.0,3.0,7.5,0.1,0.1,1026.4417399999993
100,200.0,4.0,7.5,0.1,0.1,1049.2236000000007
100,200.0,4.0,7.5,0.1,0.1,1130.319190000001
100,200.0,3.0,7.0,0.1,0.1,1461.242259999999
100,200.0,3.0,7.0,4.0,4.0,1035.0955000000013
100,200.0,5.0,15.0,2.0,2.0,701.1513300000006
100,200.0,5.0,15.0,0.1,0.1,766.8735300000062
100,200.0,5.0,15.0,2.0,2.0,678.1238400000075
100,200.0,5.0,12.0,2.0,2.0,-1.4810625639135485e+57
100,200.0,7.0,15.0,2.0,2.0,-1.90558609672958e+54
100,200.0,5.0,12.0,0.1,0.1,-1.8320926954694432e+53
100,200.0,7.0,15.0,0.1,0.1,-3.959290496957962e+48
50,100.0,1.5,3.0,0.1,0.1,1000.0
