Unnamed: 0,date,close,high,low,volume,qav,Cross
0,2024-02-28 23:00:00.999,61407.88,61407.94,61397.32,1.03616,63624.7342341,
1,2024-02-28 23:00:01.999,61399.49,61409.88,61392.18,1.63839,100603.2855971,
2,2024-02-28 23:00:02.999,61404.0,61409.9,61396.14,1.11972,68755.0761971,
3,2024-02-28 23:00:03.999,61408.86,61408.86,61404.0,0.24339,14946.0011734,
4,2024-02-28 23:00:04.999,61407.93,61407.93,61403.7,0.03446,2115.9869879,
5,2024-02-28 23:00:05.999,61413.41,61413.41,61407.92,0.55697,34203.3264999,
6,2024-02-28 23:00:06.999,61425.81,61430.0,61412.14,4.22852,259730.6424616,
7,2024-02-28 23:00:07.999,61422.03,61436.63,61415.58,2.84363,174668.3853708,
8,2024-02-28 23:00:08.999,61417.13,61429.65,61416.02,2.71644,166849.1605381,
9,2024-02-28 23:00:09.999,61410.0,61424.0,61401.83,4.88578,300057.446835,
10,2024-02-28 23:00:10.999,61384.1,61413.89,61380.0,5.38256,330468.2550686,
11,2024-02-28 23:00:11.999,61385.99,61389.98,61384.47,0.47731,29300.7508765,
12,2024-02-28 23:00:12.999,61389.38,61389.38,61384.18,0.14441,8864.9646589,
13,2024-02-28 23:00:13.999,61382.33,61390.0,61382.01,0.23657,14521.5040018,
14,2024-02-28 23:00:14.999,61382.91,61385.54,61382.91,0.01073,658.6585133,
15,2024-02-28 23:00:15.999,61389.7,61389.76,61384.01,0.18655,11451.9076352,
16,2024-02-28 23:00:16.999,61406.91,61410.0,61388.19,2.22175,136414.7145909,
17,2024-02-28 23:00:17.999,61407.88,61411.87,61404.09,1.28855,79127.5041605,
18,2024-02-28 23:00:18.999,61427.7,61436.13,61404.74,4.6307,284429.2620459,
19,2024-02-28 23:00:19.999,61423.98,61431.09,61420.0,3.08509,189502.1167834,
20,2024-02-28 23:00:20.999,61418.86,61429.52,61418.53,2.99134,183738.1123371,
21,2024-02-28 23:00:21.999,61422.0,61440.0,61418.86,3.50369,215215.3324216,
22,2024-02-28 23:00:22.999,61422.65,61427.96,61418.86,3.19168,196039.8331259,
23,2024-02-28 23:00:23.999,61423.86,61423.88,61418.86,1.15584,70992.2783437,
24,2024-02-28 23:00:24.999,61425.96,61425.96,61420.18,0.26209,16098.3163956,
25,2024-02-28 23:00:25.999,61424.08,61427.98,61424.01,0.0458,2813.3144016,
26,2024-02-28 23:00:26.999,61395.76,61426.0,61392.15,4.61511,283422.5216423,
27,2024-02-28 23:00:27.999,61395.31,61397.36,61389.46,0.85699,52613.9948606,
28,2024-02-28 23:00:28.999,61393.74,61395.2,61390.0,0.18036,11072.5234938,
29,2024-02-28 23:00:29.999,61394.23,61397.21,61392.0,0.20033,12299.16333,
30,2024-02-28 23:00:30.999,61396.97,61396.97,61394.22,0.23105,14185.4120028,
31,2024-02-28 23:00:31.999,61396.97,61396.97,61394.63,0.25642,15743.389093,
32,2024-02-28 23:00:32.999,61401.14,61401.15,61396.07,0.47309,29047.3305829,
33,2024-02-28 23:00:33.999,61403.11,61403.11,61398.91,0.42712,26225.9923291,
34,2024-02-28 23:00:34.999,61399.25,61405.71,61394.51,0.71201,43717.9843064,
35,2024-02-28 23:00:35.999,61403.87,61403.87,61399.94,0.18933,11625.1616267,
36,2024-02-28 23:00:36.999,61405.33,61405.33,61400.43,0.17119,10511.6482513,
37,2024-02-28 23:00:37.999,61405.88,61409.92,61402.17,0.07094,4356.2698482,
38,2024-02-28 23:00:38.999,61410.0,61410.0,61402.38,0.48156,29570.7696099,
39,2024-02-28 23:00:39.999,61404.43,61410.0,61404.01,0.17816,10940.0711607,
40,2024-02-28 23:00:40.999,61408.14,61409.85,61404.6,0.01976,1213.4204174,
41,2024-02-28 23:00:41.999,61405.88,61409.5,61402.19,0.48047,29504.6733177,
42,2024-02-28 23:00:42.999,61414.39,61416.65,61405.98,0.47597,29230.4482173,
43,2024-02-28 23:00:43.999,61412.01,61412.01,61410.21,0.01936,1188.9353892,
44,2024-02-28 23:00:44.999,61417.0,61417.0,61412.27,0.01431,878.830614,
45,2024-02-28 23:00:45.999,61412.38,61420.0,61412.25,0.26944,16548.2537669,
46,2024-02-28 23:00:46.999,61411.92,61417.29,61404.02,1.96543,120700.0203575,
47,2024-02-28 23:00:47.999,61409.8,61420.29,61405.04,2.02787,124533.2755548,
